ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,EntityStatusName,ReferendumName,DesignationStatusName,CompanyRegistrationNumber,ApprovedDate,FieldingCandidatesInEngland,FieldingCandidatesInScotland,FieldingCandidatesInWales,FieldingCandidatesInEurope,FieldingCandidatesMinorParty,ReferendumOutcome,CampaigningName,FinancialYearEnd
PP2692,The Local Party,Political Party,Registered,Great Britain,,,,,17/03/2015,True,True,True,False,False,,,31/12
PP9210,The Migrant Party,Political Party,Registered,Great Britain,,,,,10/09/2019,True,False,False,False,False,,,31/8
PP1701,The Moderate Group,Political Party,Registered,Great Britain,,,,,14/03/2011,True,False,False,False,False,,,31/12
PP20,The Molesey Residents Association,Political Party,Registered,Great Britain,,,,,10/11/1999,True,False,False,False,False,,,31/12
PP6385,The Ninety-Nine Percent Party,Political Party,Registered,Great Britain,,,,,13/07/2017,True,True,True,True,False,,,31/12
PP2303,The North East Party,Political Party,Registered,Great Britain,,,,,15/05/2014,True,False,False,False,False,,,31/12
PP886,The Party for Poole People Ltd.,Political Party,Registered,Great Britain,,,,,06/10/2010,True,False,False,False,False,,,31/12
PP2168,The Party Party,Political Party,Registered,Great Britain,,,,,19/11/2013,True,True,True,True,False,,,31/12
PP133,"The Peace Party - Non-violence, Justice, Environment",Political Party,Registered,Great Britain,,,,,15/03/2001,True,True,True,False,False,,,31/12
PP6472,The People's Revolution Party,Political Party,Registered,Great Britain,,,,,04/05/2017,True,True,True,True,False,,,31/12
PP378,The Peoples Party For Better Government,Political Party,Registered,Great Britain,,,,,01/04/2004,True,True,True,False,False,,,31/12
PP12506,The Priority Party,Political Party,Registered,Great Britain,,,,,18/03/2020,True,True,True,False,False,,,31/12
PP2729,The Protest Party,Political Party,Registered,Great Britain,,,,,07/04/2015,True,True,True,False,False,,,31/12
PP2652,The Radical Party,Political Party,Registered,Great Britain,,,,,23/02/2015,True,False,False,False,False,,,31/12
PP1871,The Realists' Party,Political Party,Registered,Great Britain,,,,,16/02/2012,True,True,True,False,False,,,31/12
PP45,The Referendum Party,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,False,,,31/12
PP1722,The Republican Socialist Party,Political Party,Registered,Great Britain,,,,,31/03/2011,True,True,True,True,False,,,31/12
PP6383,The Rubbish Party,Political Party,Registered,Great Britain,,,,,27/03/2017,False,True,False,False,False,,,31/12
PP6680,The Sensible Party,Political Party,Registered,Great Britain,,,,,22/01/2018,True,False,False,False,False,,,31/12
PP110,The Socialist Party of Great Britain,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,True,False,,,31/12
PP2027,The Spitfire Party,Political Party,Registered,Great Britain,,,,,13/02/2013,True,True,True,False,False,,,31/12
PP2043,The United Democratic Party,Political Party,Registered,Great Britain,,,,,12/03/2013,True,True,True,True,False,,,31/12
PP10240,The Universal Good Party,Political Party,Registered,Great Britain,,,,,01/10/2019,True,True,True,True,False,,,31/12
PP75,The Walton Society,Political Party,Registered,Great Britain,,,,,29/12/1999,True,False,False,False,False,,,31/3
PP2380,The Whig Party,Political Party,Registered,Great Britain,,,,,15/09/2014,True,True,True,True,False,,,31/12
PP127,The Workers Party,Political Party,Registered,Northern Ireland,,,,,15/03/2001,False,False,False,False,False,,,31/12
PP296,Thornaby Independent Association,Political Party,Registered,Great Britain,,,,,14/03/2003,True,False,False,False,False,,,31/12
PP6707,Thurrock Independents,Political Party,Registered,Great Britain,,,,,16/02/2018,True,False,False,False,False,,,31/12
PP11469,Time Party,Political Party,Registered,Great Britain,,,,,18/03/2020,True,True,True,False,False,,,31/12
PP10355,Tomorrow's World Order,Political Party,Registered,Great Britain,,,,,26/06/2020,True,True,True,True,False,,,31/12
PP6431,Touch Love Worldwide (UK),Political Party,Registered,Great Britain,,,,,03/11/2017,True,True,True,False,False,,,31/12
PP804,Trade Unionist and Socialist Coalition,Political Party,Registered,Great Britain,,,,,27/01/2010,True,True,True,False,False,,,31/12
PP680,Traditional Unionist Voice - TUV,Political Party,Registered,Northern Ireland,,,,,10/10/2007,False,False,False,False,False,,,31/12
PP2693,Transhumanist Party,Political Party,Registered,Great Britain,,,,,12/06/2015,True,True,True,True,False,,,31/12
PP710,True Democracy Party,Political Party,Registered,Great Britain,,,,,28/03/2008,True,True,True,False,False,,,31/12
PP6711,Tunbridge Wells Alliance,Political Party,Registered,Great Britain,,,,,26/02/2018,True,False,False,False,False,,,31/12
PP9060,UK European Union Party (UKEUP),Political Party,Registered,Great Britain,,,,,18/04/2019,True,True,True,True,False,,,31/12
PP85,UK Independence Party (UKIP),Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,True,False,,,31/12
PP84,UK Independence Party (UKIP),Political Party,Registered,Northern Ireland,,,,,16/02/2001,False,False,False,False,False,,,31/12
PP2482,UK Meritocracy Party,Political Party,Registered,Great Britain,,,,,04/11/2014,True,False,True,True,False,,,31/12
PP9053,UK Voice,Political Party,Registered,Great Britain,,,,,23/06/2020,True,True,True,False,False,,,31/12
PP9058,UK Voice,Political Party,Registered,Northern Ireland,,,,,23/06/2020,False,False,False,False,False,,,31/12
PP83,Ulster Unionist Party,Political Party,Registered,Northern Ireland,,,,,14/01/1999,False,False,False,False,False,,,31/12
PP5273,United Kingdom Liberty Party,Political Party,Registered,Great Britain,,,,,06/10/2016,True,True,True,True,False,,,31/12
PP649,Unity For Peace And Socialism,Political Party,Registered,Great Britain,,,,,19/03/2007,True,True,True,False,False,,,31/12
PP6658,Unity in Action,Political Party,Registered,Great Britain,,,,,28/11/2017,True,True,True,False,False,,,31/12
PP5299,Uplands,Political Party,Registered,Great Britain,,,,,30/11/2016,False,False,True,False,False,,,31/12
PP30,Upminster and Cranham Residents Association,Political Party,Registered,Great Britain,,,,,16/03/2000,True,False,False,False,False,,,31/12
PP11399,Vanguard Party,Political Party,Registered,Great Britain,,,,,05/05/2020,True,True,True,False,False,,,31/12
PP6719,Veterans and People’s Party,Political Party,Registered,Great Britain,,,,,31/01/2018,True,True,True,False,False,,,31/12
PP6721,Veterans and People’s Party,Political Party,Registered,Northern Ireland,,,,,31/01/2018,False,False,False,False,False,,,31/12
PP426,Vivamus,Political Party,Registered,Great Britain,,,,,07/02/2005,True,True,True,False,False,,,31/12
PP8009,Volt United Kingdom,Political Party,Registered,Great Britain,,,,,06/01/2020,True,True,True,False,False,,,31/12
PP2086,Vote Roehampton,Political Party,Registered,Great Britain,,,,,03/07/2013,True,False,False,False,False,,,31/12
PP2600,Vox Pop,Political Party,Registered,Great Britain,,,,,17/03/2015,True,True,True,False,False,,,31/12
PP1995,Welwyn Garden City Party,Political Party,Registered,Great Britain,,,,,26/02/2013,True,False,False,False,False,,,31/12
PP4039,Werrington First,Political Party,Registered,Great Britain,,,,,14/03/2016,True,False,False,False,False,,,31/12
PP95,Wessex Regionalists,Political Party,Registered,Great Britain,,,,,25/06/1999,True,False,False,False,False,,,31/12
PP4032,West Dunbartonshire Community Party,Political Party,Registered,Great Britain,,,,,19/05/2016,False,True,False,False,False,,,31/3
PP2353,West Suffolk Independents,Political Party,Registered,Great Britain,,,,,04/09/2014,True,False,False,False,False,,,1/1
PP6402,West Windsor Residents Association,Political Party,Registered,Great Britain,,,,,17/08/2017,True,False,False,False,False,,,31/12
PP9067,Westhoughton First Independents,Political Party,Registered,Great Britain,,,,,20/03/2019,True,False,False,False,False,,,31/12
PP49,Weybridge & St. George's Independents,Political Party,Registered,Great Britain,,,,,16/03/2000,True,False,False,False,False,,,31/12
PP129,Whitnash Residents Association,Political Party,Registered,Great Britain,,,,,30/03/2001,True,False,False,False,False,,,31/12
PP6679,Wickford Independents,Political Party,Registered,Great Britain,,,,,16/02/2018,True,False,False,False,False,,,31/12
PP7948,Wigan Independents,Political Party,Registered,Great Britain,,,,,08/02/2019,True,False,False,False,False,,,31/12
PP4047,Winchester Independents,Political Party,Registered,Great Britain,,,,,23/03/2016,True,False,False,False,False,,,31/12
PP2755,Women's Equality Party,Political Party,Registered,Great Britain,,,,,20/07/2015,True,True,True,True,False,,,31/12
PP11382,Workers Party of Britain,Political Party,Registered,Great Britain,,,,,22/04/2020,True,True,True,True,False,,,31/12
PP184,Workers Revolutionary Party,Political Party,Registered,Great Britain,,,,,15/05/2001,True,False,False,False,False,,,31/12
PP2601,Wycombe Independents,Political Party,Registered,Great Britain,,,,,18/03/2015,True,False,False,False,False,,,31/12
PP279,Wythall Residents' Association,Political Party,Registered,Great Britain,,,,,19/02/2003,True,False,False,False,False,,,31/12
PP730,Yes 2 Europe,Political Party,Registered,Great Britain,,,,,19/09/2008,True,True,True,True,False,,,31/12
PP6533,Yeshua,Political Party,Registered,Great Britain,,,,,18/01/2018,True,True,True,True,False,,,31/12
PP2055,Yorkshire Party,Political Party,Registered,Great Britain,,,,,12/06/2013,True,False,False,False,False,,,31/12
PP1912,Young People's Party YPP,Political Party,Registered,Great Britain,,,,,06/06/2012,True,True,True,True,False,,,31/12
PP2300,Yourvoice,Political Party,Registered,Great Britain,,,,,17/03/2014,True,True,True,False,False,,,31/12
PP1949,Zero Tolerance Policing ex  Chief,Political Party,Registered,Great Britain,,,,,10/10/2012,True,False,False,False,False,,,31/12
