ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,EntityStatusName,ReferendumName,DesignationStatusName,CompanyRegistrationNumber,ApprovedDate,FieldingCandidatesInEngland,FieldingCandidatesInScotland,FieldingCandidatesInWales,FieldingCandidatesInEurope,FieldingCandidatesMinorParty,ReferendumOutcome,CampaigningName,FinancialYearEnd
PP11433,Independence for Scotland Party,Political Party,Registered,Great Britain,,,,,07/05/2020,False,True,False,False,False,,,31/12
PP6839,Independent Alliance (Kent),Political Party,Registered,Great Britain,,,,,26/07/2018,True,False,False,False,False,,,31/12
PP293,Independent Green Voice,Political Party,Registered,Great Britain,,,,,14/03/2003,True,True,True,False,False,,,31/12
PP44,Independent Kidderminster Hospital and Health Concern,Political Party,Registered,Great Britain,,,,,27/01/2000,True,False,False,False,False,,,31/12
PP128,Independent Loughton Residents Association,Political Party,Registered,Great Britain,,,,,15/03/2001,True,False,False,False,False,,,31/12
PP4072,Independent Network,Political Party,Registered,Northern Ireland,,,,,06/04/2016,False,False,False,False,False,,,31/12
PP1951,Independent Network,Political Party,Registered,Great Britain,,,,,05/12/2012,True,True,True,True,False,,,31/12
PP2575,Independent Sovereign Democratic Britain,Political Party,Registered,Great Britain,,,,,01/04/2015,True,True,True,False,False,,,31/12
PP7984,Independent Union,Political Party,Registered,Great Britain,,,,,18/02/2019,True,False,False,True,False,,,31/12
PP204,Independent Working Class Association,Political Party,Registered,Great Britain,,,,,25/09/2001,True,True,True,False,False,,,31/12
PP252,Independents @ Swansea,Political Party,Registered,Great Britain,,,,,21/06/2002,False,False,True,False,False,,,31/12
PP11472,Ingleby Barwick Independent Society,Political Party,Registered,Great Britain,,,,,03/02/2020,True,False,False,False,False,,,31/12
PP2152,Interactive Democracy,Political Party,Registered,Great Britain,,,,,10/01/2014,True,True,True,True,False,,,31/12
PP883,It's Our County (Herefordshire),Political Party,Registered,Great Britain,,,,,25/08/2010,True,False,False,False,False,,,31/12
PP1888,iXDemocracy,Political Party,Registered,Great Britain,,,,,21/03/2012,True,True,True,True,False,,,31/12
PP340,Joint Communities,Political Party,Registered,Great Britain,,,,,01/07/2003,True,True,True,False,False,,,31/12
PP2034,Justice For Men & Boys,Political Party,Registered,Great Britain,,,,,21/02/2013,True,True,True,True,False,,,31/12
PP157,Justice Party,Political Party,Registered,Great Britain,,,,,26/04/2001,True,False,False,False,False,,,31/12
PP6302,Kingston Independent Residents Group,Political Party,Registered,Great Britain,,,,,16/02/2017,True,False,False,False,False,,,31/12
PP53,Labour Party,Political Party,Registered,Great Britain,,,,,14/01/1999,True,True,True,True,False,,,31/12
PP2045,Left Unity,Political Party,Registered,Great Britain,,,,,26/03/2013,True,True,True,True,False,,,31/12
PP7919,"Leigh, Atherton & Tyldesley Together",Political Party,Registered,Great Britain,,,,,16/11/2018,True,False,False,False,False,,,31/12
PP789,Lewisham People Before Profit,Political Party,Registered,Great Britain,,,,,04/12/2009,True,False,False,False,False,,,31/12
PP90,Liberal Democrats,Political Party,Registered,Great Britain,,,,,14/01/1999,True,True,True,True,False,,,31/12
PP684,Libertarian Party,Political Party,Registered,Great Britain,,,,,21/11/2007,True,False,True,True,False,,,31/12
PP685,Libertarian Party,Political Party,Registered,Northern Ireland,,,,,21/11/2007,False,False,False,False,False,,,31/12
PP1986,Life,Political Party,Registered,Great Britain,,,,,05/03/2013,True,True,True,True,False,,,31/12
PP733,Lincolnshire Independents Lincolnshire First,Political Party,Registered,Great Britain,,,,,19/12/2008,True,False,False,False,False,,,31/12
PP4038,Link Party,Political Party,Registered,Great Britain,,,,,14/03/2016,True,True,True,False,False,,,31/12
